SNo,Region,Regional designation,Island group,Regional center,Area (km2),Population -2010,Density (per km2)
1,National Capital Region, NCR ,Luzon,Manila,636,"1,18,55,975",18641.5
2,Cordillera Administrative Region, CAR ,Luzon,Baguio,"18,294","16,16,867",88.4
3,Ilocos Region, Region I ,Luzon,San Fernando (La Union),"12,840","47,48,372",369.8
4,Cagayan Valley, Region II ,Luzon,Tuguegarao,"26,838","32,29,163",120.3
5,Central Luzon, Region III ,Luzon,San Fernando (Pampanga),"21,470","1,01,37,737",472.2
6,CALABARZON, Region IV-A ,Luzon,Calamba,"16,229","1,26,09,803",777
7,MIMAROPA, Region IV-B ,Luzon,Calapan,"27,456","27,44,671",100
8,Bicol Region, Region V ,Luzon,Legazpi,"17,632","54,20,411",307.4
9,Western Visayas, Region VI ,Visayas,Iloilo City,"12,258","41,94,579",342.2
10,Central Visayas, Region VII ,Visayas,Cebu City,"9,565","55,13,514",576.4
11,Eastern Visayas, Region VIII ,Visayas,Tacloban,"21,432","41,01,322",191.4
12,Negros Island Region, Region XVIII ,Visayas,Bacolod and Dumaguete (interim),"13,351","41,94,525",314.2
13,Zamboanga Peninsula, Region IX ,Mindanao,Pagadian,"14,811","34,07,353",230.1
14,Northern Mindanao, Region X ,Mindanao,Cagayan de Oro,"17,125","42,97,323",250.9
15,Davao Region, Region XI ,Mindanao,Davao City,"20,244","44,68,563",220.7
16,SOCCSKSARGEN, Region XII ,Mindanao,Koronadal,"18,433","41,09,571",222.9
17,Caraga, Region XIII ,Mindanao,Butuan,"18,847","24,29,224",128.9
18,Autonomous Region in Muslim Mindanao, ARMM ,Mindanao,Cotabato City,"12,695","32,56,140",256.5
,,,,,,,
"For more information, kindly visit :  www.downloadexcelfiles.com ",,,,,,,
