ABRA,140100000,2
AGUSAN DEL NORTE,160200000,18
AGUSAN DEL SUR,160300000,18
AKLAN,60400000,11
ALBAY,50500000,10
ANTIQUE,60600000,11
APAYAO,148100000,2
AURORA,37700000,7
BASILAN,150700000,1
BATAAN,30800000,7
BATANES,20900000,6
BATANGAS,41000000,8
BENGUET,141100000,2
BILIRAN,87800000,13
BOHOL,71200000,12
BUKIDNON,101300000,15
BULACAN,31400000,7
CAGAYAN,21500000,6
CAMARINES NORTE,51600000,10
CAMARINES SUR,51700000,10
CAMIGUIN,101800000,15
CAPIZ,61900000,11
CATANDUANES,52000000,10
CAVITE,42100000,8
CEBU,72200000,12
CITY OF ISABELA (Not a Province),99700000,14
COMPOSTELA VALLEY,118200000,16
COTABATO (NORTH COTABATO),124700000,17
COTABATO CITY (Not a Province),129800000,17
DAVAO DEL NORTE,112300000,16
DAVAO DEL SUR,112400000,16
DAVAO OCCIDENTAL,118600000,16
DAVAO ORIENTAL,112500000,16
DINAGAT ISLANDS,168500000,18
EASTERN SAMAR,82600000,13
GUIMARAS,67900000,11
IFUGAO,142700000,2
ILOCOS NORTE,12800000,5
ILOCOS SUR,12900000,5
ILOILO,63000000,11
ISABELA,23100000,6
KALINGA,143200000,2
LA UNION,13300000,5
LAGUNA,43400000,8
LANAO DEL NORTE,103500000,15
LANAO DEL SUR,153600000,1
LEYTE,83700000,13
MAGUINDANAO,153800000,1
MARINDUQUE,174000000,9
MASBATE,54100000,10
MISAMIS OCCIDENTAL,104200000,15
MISAMIS ORIENTAL,104300000,15
MOUNTAIN PROVINCE,144400000,2
NCR National Capital Region,133900000,3
NEGROS OCCIDENTAL,184500000,4
NEGROS ORIENTAL,184600000,4
NORTHERN SAMAR,84800000,13
NUEVA ECIJA,34900000,7
NUEVA VIZCAYA,25000000,6
OCCIDENTAL MINDORO,175100000,9
ORIENTAL MINDORO,175200000,9
PALAWAN,175300000,9
PAMPANGA,35400000,7
PANGASINAN,15500000,5
QUEZON,45600000,8
QUIRINO,25700000,6
RIZAL,45800000,8
ROMBLON,175900000,9
SAMAR (WESTERN SAMAR),86000000,13
SARANGANI,12800000,17
SIQUIJOR,76100000,12
SORSOGON,56200000,10
SOUTH COTABATO,123600000,17
SOUTHERN LEYTE,86400000,13
SULTAN KUDARAT,126500000,17
SULU,156600000,1
SURIGAO DEL NORTE,166700000,18
SURIGAO DEL SUR,166800000,18
TARLAC,36900000,7
TAWI-TAWI,157000000,1
ZAMBALES,37100000,7
ZAMBOANGA DEL NORTE,97200000,14
ZAMBOANGA DEL SUR,97300000,14
ZAMBOANGA SIBUGAY,93800000,14
